type;detailed_type;amount;posting_currency
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.11;EUR
SALE;PURCHASE;7.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.51;EUR
SALE;PURCHASE;34.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;0.90;DKK
SALE;PURCHASE;60.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.23;GBP
SALE;PURCHASE;15.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.02;AUD
SALE;PURCHASE;1.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;3.92;SEK
SALE;PURCHASE;261.00;SEK
RETURN;PURCHASE_RETURN;261.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.09;AUD
SALE;PURCHASE;6.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.63;GBP
SALE;PURCHASE;42.00;GBP
RETURN;PURCHASE_RETURN;42.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.38;AUD
SALE;PURCHASE;25.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.06;USD
SALE;PURCHASE;4.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.20;AUD
SALE;PURCHASE;13.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.23;USD
SALE;PURCHASE;15.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.27;GBP
SALE;PURCHASE;18.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;3.05;SEK
SALE;PURCHASE;203.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.36;GBP
SALE;PURCHASE;24.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.11;EUR
SALE;PURCHASE;7.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.38;GBP
SALE;PURCHASE;25.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.14;EUR
SALE;PURCHASE;9.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;0.96;DKK
SALE;PURCHASE;64.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.16;DKK
SALE;PURCHASE;77.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;0.36;DKK
SALE;PURCHASE;24.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.63;USD
SALE;PURCHASE;42.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.56;GBP
SALE;PURCHASE;37.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.32;GBP
SALE;PURCHASE;21.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.26;DKK
SALE;PURCHASE;84.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;3.24;DKK
SALE;PURCHASE;216.00;DKK
RETURN;PURCHASE_RETURN;216.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.18;USD
SALE;PURCHASE;12.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.68;USD
SALE;PURCHASE;45.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.65;GBP
SALE;PURCHASE;43.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.24;EUR
SALE;PURCHASE;16.00;EUR
RETURN;PURCHASE_RETURN;16.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;4.41;DKK
SALE;PURCHASE;294.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;2.07;DKK
SALE;PURCHASE;138.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;6.62;SEK
SALE;PURCHASE;441.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.29;USD
SALE;PURCHASE;19.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.02;GBP
SALE;PURCHASE;1.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.28;DKK
SALE;PURCHASE;85.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.33;GBP
SALE;PURCHASE;22.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.38;GBP
SALE;PURCHASE;25.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.42;EUR
SALE;PURCHASE;28.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.50;AUD
SALE;PURCHASE;33.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.05;USD
SALE;PURCHASE;3.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;2.40;DKK
SALE;PURCHASE;160.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.54;GBP
SALE;PURCHASE;36.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;1.65;SEK
SALE;PURCHASE;110.00;SEK
RETURN;PURCHASE_RETURN;110.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;1.26;SEK
SALE;PURCHASE;84.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.72;AUD
SALE;PURCHASE;48.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;3.45;DKK
SALE;PURCHASE;230.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.68;AUD
SALE;PURCHASE;45.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.98;DKK
SALE;PURCHASE;132.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.50;EUR
SALE;PURCHASE;33.00;EUR
RETURN;PURCHASE_RETURN;33.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;1.05;SEK
SALE;PURCHASE;70.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.71;AUD
SALE;PURCHASE;47.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;6.21;SEK
SALE;PURCHASE;414.00;SEK
RETURN;PURCHASE_RETURN;414.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.66;EUR
SALE;PURCHASE;44.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.47;EUR
SALE;PURCHASE;31.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.08;USD
SALE;PURCHASE;5.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.69;AUD
SALE;PURCHASE;46.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.74;EUR
SALE;PURCHASE;49.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.50;GBP
SALE;PURCHASE;33.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;0.54;SEK
SALE;PURCHASE;36.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.23;USD
SALE;PURCHASE;15.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.39;EUR
SALE;PURCHASE;26.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.38;USD
SALE;PURCHASE;25.00;USD
RETURN;PURCHASE_RETURN;25.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.41;GBP
SALE;PURCHASE;27.00;GBP
RETURN;PURCHASE_RETURN;27.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;2.97;SEK
SALE;PURCHASE;198.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;3.33;DKK
SALE;PURCHASE;222.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.08;AUD
SALE;PURCHASE;5.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.65;USD
SALE;PURCHASE;43.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;0.81;DKK
SALE;PURCHASE;54.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.14;USD
SALE;PURCHASE;9.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.30;USD
SALE;PURCHASE;20.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;USD
FEE;PURCHASE_FEE_PERCENTAGE;0.18;USD
SALE;PURCHASE;12.00;USD
RETURN;PURCHASE_RETURN;12.00;USD
FEE;PURCHASE_FEE_FIXED;0.10;GBP
FEE;PURCHASE_FEE_PERCENTAGE;0.54;GBP
SALE;PURCHASE;36.00;GBP
FEE;PURCHASE_FEE_FIXED;0.10;AUD
FEE;PURCHASE_FEE_PERCENTAGE;0.11;AUD
SALE;PURCHASE;7.00;AUD
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;1.79;DKK
SALE;PURCHASE;119.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;DKK
FEE;PURCHASE_FEE_PERCENTAGE;0.81;DKK
SALE;PURCHASE;54.00;DKK
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;7.20;SEK
SALE;PURCHASE;480.00;SEK
FEE;PURCHASE_FEE_FIXED;0.10;EUR
FEE;PURCHASE_FEE_PERCENTAGE;0.14;EUR
SALE;PURCHASE;9.00;EUR
FEE;PURCHASE_FEE_FIXED;0.10;SEK
FEE;PURCHASE_FEE_PERCENTAGE;3.57;SEK
SALE;PURCHASE;238.00;SEK
